timedeltaindex,absolute_timestamp,accessspecid,antenna,channelindex,doppler,doppler_by_phase,doppler_channel,doppler_hz,epc96,estimated_rssi,id,interrogator_timestamp,inventoryparameterspecid,lastseentimestamp,phase,phase_rads,prx_moving_parts,relative_timestamp,rospecid,rssi,rssi_delta,rssi_from_mean,rssi_from_min,tagseencount,velocity_by_doppler,velocity_by_phase
00:00:01.042227,2017-06-02 20:49:22,0,1.0,46.0,65529,0.0441883484163,-404796875.0,-0.4375,00e200600322efac42000000,-53.2761357986,57,1502816629527745,1,1502816629527745,3412,5.23394244827,-8.01709481322,1042227,1,-56,-12.0,0.48025787528,2.05192192737,1,-0.14175541786,0.0143175721012
00:00:01.057259,2017-06-02 20:49:22,0,1.0,46.0,6,-0.0125606124916,346968750.0,0.375,00e200600322f041ef000000,-50.8778379415,58,1502816629542777,1,1502816629542777,2712,4.16015589675,-2.01709481322,1057259,1,-50,6.0,-1.02603497665,0.246649439544,1,0.12150464388,-0.0040697939939
00:00:01.068715,2017-06-02 20:49:22,0,1.0,46.0,65522,0.14747244035,-809593750.0,-0.875,00e200600322efac42000000,-54.6275208129,59,1502816629554233,1,1502816629554233,3444,5.28302983348,-8.01709481322,1068715,1,-56,-6.0,-0.871127139081,0.700536913006,1,-0.28351083572,0.047782896925
00:00:01.078671,2017-06-02 20:49:22,0,1.0,46.0,65527,0.0097106626494,-520453125.0,-0.5625,00e200600322f10741000000,-46.8476356194,60,1502816629564189,1,1502816629564189,224,0.343611696486,3.98290518678,1078671,1,-44,12.0,-0.113890523548,0.919759107677,1,-0.18225696582,0.00314637495215
00:00:01.125549,2017-06-02 20:49:22,0,1.0,46.0,10,-0.111687656157,578281250.0,0.625,00e200600322efac42000000,-53.5476313554,61,1502816629611067,1,1502816629611067,3392,5.20326283251,-8.01709481322,1125549,1,-56,-12.0,0.208762318474,1.78042637056,1,0.2025077398,-0.0361881836989
00:00:01.135546,2017-06-02 20:49:22,0,1.0,46.0,0,-0.00858516483516,0.0,0.0,00e200600322f10741000000,-46.5582801113,62,1502816629621064,1,1502816629621064,220,0.337475773335,3.98290518678,1135546,1,-44,12.0,0.175464984519,1.20911461574,1,0.0,-0.00278169972253
00:00:01.145237,2017-06-02 20:49:22,0,1.0,46.0,1,0.0166501142331,57828125.0,0.0625,00e200600322f041ef000000,-49.0777939352,63,1502816629630755,1,1502816629630755,2724,4.1785636662,-2.01709481322,1145237,1,-50,-6.0,0.774009029625,2.04669344582,1,0.02025077398,0.00539484320121
00:00:01.174362,2017-06-02 20:49:22,0,1.0,47.0,65529,0.0166501142331,-405015625.0,-0.4375,00e200600322efac42000000,-54.1452004751,64,1502816629659880,1,1502816629659880,3720,5.70640853093,-8.00770973505,1174362,1,-56,-6.0,-0.106981911635,1.91394757272,1,-0.141678855388,0.00539484320121
00:00:01.184061,2017-06-02 20:49:22,0,1.0,47.0,3,0.0166501142331,173578125.0,0.1875,00e200600322f041ef000000,-51.1107031198,65,1502816629669579,1,1502816629669579,3060,4.69398121093,-2.00770973505,1184061,1,-50,6.0,-1.47082639147,0.28198306089,1,0.0607195094518,0.00539484320121
00:00:01.194020,2017-06-02 20:49:22,0,1.0,47.0,8,0.0166501142331,462875000.0,0.5,00e200600322f10741000000,-45.9053071586,66,1502816629679538,1,1502816629679538,584,0.895844780125,3.99229026495,1194020,1,-44,6.0,0.832001038415,1.90430083862,1,0.161918691871,0.00539484320121
00:00:01.619646,2017-06-02 20:49:22,0,1.0,48.0,3,-0.104286805066,173671875.0,0.1875,00e200600322efac42000000,-52.5630843977,67,1502816630105164,1,1502816630105164,2784,4.27060251347,-6.99832972441,1619646,1,-55,-11.0,0.803900277015,2.74772668188,1,0.0606867323887,-0.0337537356305
00:00:01.643255,2017-06-02 20:49:22,0,1.0,48.0,3,-0.104286805066,173671875.0,0.1875,00e200600322f041ef000000,-50.6867763945,68,1502816630128773,1,1502816630128773,100,0.153398078789,-1.99832972441,1643255,1,-50,5.0,-0.834557851319,0.936767431731,1,0.0606867323887,-0.0337537356305
00:00:01.656586,2017-06-02 20:49:22,0,1.0,48.0,1,-0.104286805066,57890625.0,0.0625,00e200600322f10741000000,-46.5237671424,69,1502816630142104,1,1502816630142104,3756,5.7616318393,3.00167027559,1656586,1,-45,5.0,0.231600647011,1.23900635965,1,0.0202289107962,-0.0337537356305
00:00:01.666467,2017-06-02 20:49:22,0,1.0,48.0,3,-0.104286805066,173671875.0,0.1875,00e200600322efac42000000,-52.728800251,70,1502816630151985,1,1502816630151985,2744,4.20924328196,-6.99832972441,1666467,1,-55,-10.0,0.638184423782,2.58201082865,1,0.0606867323887,-0.0337537356305
00:00:01.714094,2017-06-02 20:49:22,0,1.0,48.0,65530,0.00689283092647,-347343750.0,-0.375,00e200600322f041ef000000,-50.7311798236,71,1502816630199612,1,1502816630199612,104,0.15953400194,-1.99832972441,1714094,1,-50,5.0,-0.878961280366,0.892364002685,1,-0.121373464777,0.00223095139112
00:00:01.726047,2017-06-02 20:49:22,0,1.0,48.0,1,0.0,57890625.0,0.0625,00e200600322f10741000000,-46.5356650054,72,1502816630211565,1,1502816630211565,3756,5.7616318393,3.00167027559,1726047,1,-45,5.0,0.219702784057,1.22710849669,1,0.0202289107962,0.0
00:00:01.735855,2017-06-02 20:49:22,0,1.0,48.0,15,-0.0281478785957,868359375.0,0.9375,00e200600322efac42000000,-52.7319882737,73,1502816630221373,1,1502816630221373,2728,4.18469958935,-6.99832972441,1735855,1,-55,-10.0,0.634996401012,2.57882280588,1,0.303433661943,-0.00911041480345
00:00:01.752379,2017-06-02 20:49:22,0,1.0,48.0,0,-0.0637692634191,0.0,0.0,00e200600322f041ef000000,-50.7320340517,74,1502816630237897,1,1502816630237897,84,0.128854386182,-1.99832972441,1752379,1,-50,5.0,-0.879815508493,0.891509774558,1,0.0,-0.0206397238599
00:00:01.762328,2017-06-02 20:49:22,0,1.0,48.0,4,-0.0134583184036,231562500.0,0.25,00e200600322f10741000000,-46.5358938951,75,1502816630247846,1,1502816630247846,3752,5.75549591615,3.00167027559,1762328,1,-45,5.0,0.21947389432,1.22687960696,1,0.0809156431849,-0.00435595395925
00:00:01.775772,2017-06-02 20:49:22,0,1.0,48.0,2,0.0366972405241,115781250.0,0.125,00e200600322efac42000000,-52.7320496045,76,1502816630261290,1,1502816630261290,2740,4.20310735881,-6.99832972441,1775772,1,-55,-10.0,0.634935070192,2.57876147506,1,0.0404578215924,0.0118775232805
00:00:01.830394,2017-06-02 20:49:22,0,1.0,49.0,3,0.0366972405241,173765625.0,0.1875,00e200600322f10741000000,-47.0717964474,77,1502816630315912,1,1502816630315912,3132,4.80442782766,3.01104522416,1830394,1,-45,10.0,-0.133700948314,0.740521571179,1,0.0606539906933,0.0118775232805
00:00:01.840140,2017-06-02 20:49:22,0,1.0,49.0,65535,0.0366972405241,-57921875.0,-0.0625,00e200600322f041ef000000,-49.2153902228,78,1502816630325658,1,1502816630325658,1632,2.50345664583,-1.98895477584,1840140,1,-50,-5.0,0.796517311851,2.49329414095,1,-0.0202179968978,0.0118775232805
00:00:01.851522,2017-06-02 20:49:22,0,1.0,49.0,6,-0.0666905116368,347531250.0,0.375,00e200600322efac42000000,-53.4500184817,79,1502816630337040,1,1502816630337040,96,0.147262155637,-6.98895477584,1851522,1,-55,-5.0,-0.11886353849,2.04569525062,1,0.121307981387,-0.0215735769181
00:00:01.867002,2017-06-02 20:49:22,0,1.0,49.0,8,-0.0666905116368,463375000.0,0.5,00e200600322f10741000000,-47.2641756282,80,1502816630352520,1,1502816630352520,3112,4.7737482119,3.01104522416,1867002,1,-45,10.0,-0.326080129129,0.548142390364,1,0.161743975182,-0.0215735769181
00:00:01.876648,2017-06-02 20:49:22,0,1.0,49.0,2,0.0267492741317,115843750.0,0.125,00e200600322f041ef000000,-49.9989888765,81,1502816630362166,1,1502816630362166,1640,2.51572849213,-2.98895477584,1876648,1,-51,-6.0,0.0129186581421,1.70969548725,1,0.0404359937955,0.00865306786259
00:00:01.890028,2017-06-02 20:49:22,0,1.0,49.0,65513,0.0253613073287,-1332203125.0,-1.4375,00e200600322efac42000000,-53.6599831081,82,1502816630375546,1,1502816630375546,104,0.15953400194,-6.98895477584,1890028,1,-55,-4.0,-0.328828164941,1.83573062417,1,-0.465013928649,0.00820407732633
00:00:01.935422,2017-06-02 20:49:22,0,1.0,49.0,4,0.0356826403099,231687500.0,0.25,00e200600322f10741000000,-47.3204354803,83,1502816630420940,1,1502816630420940,3132,4.80442782766,3.01104522416,1935422,1,-45,10.0,-0.382339981225,0.491882538267,1,0.080871987591,0.0115429041774
00:00:01.951163,2017-06-02 20:49:22,0,1.0,49.0,65535,3.35502918875,-57921875.0,-0.0625,00e200600322f041ef000000,-49.2820128509,84,1502816630436681,1,1502816630436681,3688,5.65732114572,-1.98895477584,1951163,1,-50,-5.0,0.729894683775,2.42667151288,1,-0.0202179968978,1.08531151568
00:00:01.962962,2017-06-02 20:49:22,0,1.0,49.0,65535,-0.046863859791,-57921875.0,-0.0625,00e200600322efac42000000,-53.4678699611,85,1502816630448480,1,1502816630448480,76,0.116582539879,-6.98895477584,1962962,1,-55,-5.0,-0.13671501788,2.02784377123,1,-0.0202179968978,-0.01515989395
00:00:01.978379,2017-06-02 20:49:22,0,1.0,49.0,3,0.0227334893033,173765625.0,0.1875,00e200600322f10741000000,-47.2689589177,86,1502816630463897,1,1502816630463897,3140,4.81669967396,3.01104522416,1978379,1,-45,10.0,-0.330863418615,0.543359100877,1,0.0606539906933,0.00735400985934
